course_code,course_name,course_link,page_number
BUS388,Launching a Global Social Enterprise,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2715,4
BUS389,Self-directed Innovation Project,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2716,4
BUS390,"Internship in Innovation, Creativity and Entrepreneurship",https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2717,4
BUS391,Internship in Sustainable Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2718,4
BUS392,Internship in Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2719,4
BUS394,Internship in International Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2720,4
BUS395,Internship I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2723,4
BUS396,Internship II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2727,4
BUS397,Internship in Sport Management/Advance Field Experience,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2730,4
BUS398,Professional Selling Practicum,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2731,4
BUS399,Special Topics in Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2732,4
BUS450,Business Policy and Strategy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2739,4
BUS485,Managing the Growing Entrepreneurial Venture,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2740,4
BUS490,Independent Study,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2742,4
BAN300,Foundations of Data Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2653,4
BAN340,Data Mining for Business Analysts,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2680,4
BAN350,Data Visualization,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2688,4
BAN395,Internship in Business Analytics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2722,4
CHY107,Chemistry for Health Sciences,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2746,4
CHY113,Principles of Chemistry I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2747,4
CHY114,Laboratory Techniques I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2748,4
CHY115,Principles of Chemistry II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2749,4
CHY116,Laboratory Techniques II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2750,4
CHY233,Analytical Chemistry with Lab,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2751,4
CHY251,Organic Chemistry I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2752,4
CHY252,Organic Chemistry Laboratory I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2753,4
CHY253,Organic Chemistry II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2754,4
CHY254,Organic Chemistry Laboratory II,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2755,4
CHY345,Polymer Chemistry,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2756,4
CHY371,Quantum Chemistry,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2757,4
CHY373,Chemical Thermodynamics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2758,4
CHY374,Chemical Thermodynamics Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2759,4
CHY377,Spectroscopy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2760,4
CHY378,Instrumental Analysis Laboratory,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2761,4
CHY385,Pickles to Pints: Fermentation Science,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2762,4
CHY410,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2763,4
CHY411,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2764,4
CHY412,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2765,4
CHY413,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2766,4
CHY414,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2767,4
CHY415,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2768,4
CHY416,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2769,4
CHY417,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2770,4
CHY418,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2771,4
CHY419,Special Topics,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2772,4
CHY421,Inorganic Chemistry,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2773,4
CHY461,Biochemistry I,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2774,4
